submission_number,title,artist_name,category,drive_url,drive_id,expected_local_filename,player_uid,tr_username
"020","เวลคัม! แอนิมอล วิลเลจ","กิอา","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1sauI2eN35SqqPXv0ETo8b0htL3k-cC4N","1sauI2eN35SqqPXv0ETo8b0htL3k-cC4N","020.png","X3IH14","PongLnwZa"
"021","Jab Bubble Dream","Kyuketsu Kei","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1V63KJGebBqEFk3gBzYgukHMF9WNQE-Mf","1V63KJGebBqEFk3gBzYgukHMF9WNQE-Mf","021.png","57LGA4","kyuketsukei"
"022","วิ่งในโลกนิทานไปพร้อมกับน้องจ๊าบและองค์ชาย","ErlunX3","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1U2t2EIskL5T1LGuuorRxDA25CJS8lVyd","1U2t2EIskL5T1LGuuorRxDA25CJS8lVyd","022.png","8X44SC","nine65"
"023","Sweet Mischief","ZeeNIL","Traditional Art (วาดบนกระดาษ)","https://drive.google.com/open?id=1KS2qNTJCzrCKrC6mAvuSF82NmZq6BdvA","1KS2qNTJCzrCKrC6mAvuSF82NmZq6BdvA","023.png","C0O68J","SPZeeNIL"
"024","เพื่อนๆกับเพื่อน(?)ของเพื่อนๆพาจ๊าบมาขับรถเล่นแหล---ว๊ากกกกก","Nyacoii","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1eRGz0dtUQ1aY0ZZVtkt1urVz7ZFivnE3","1eRGz0dtUQ1aY0ZZVtkt1urVz7ZFivnE3","024.png","3CN62Z","Nyacoii123"
"025","แต่งตัวให้จ๊าบ ๆ","SmSdWsS","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1jOmBT_nrZrx4inh9h9cIVtg4zT1pYva1","1jOmBT_nrZrx4inh9h9cIVtg4zT1pYva1","025.png","P185FZ","SmSdWsS"
"026","ผลลัพธ์ของการฝึกเคล็ดลับการวิ่งยังไงล๊า~!","Aoguro","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1r0aS-XkdoBSyHbv7yj34UgstRpvEMNEX","1r0aS-XkdoBSyHbv7yj34UgstRpvEMNEX","026.png","4ZD2K4","Kemono"
"027","จ๊าบดอก(ไม้)","Tenji","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1KmSv7aD38HrX1aCgE1nTfvq03tJNLiRj","1KmSv7aD38HrX1aCgE1nTfvq03tJNLiRj","027.png","7BH18C","Tenjipop"
"028","เจ้าสุนัขกำลังกระทำสิ่งใด","Aph7z [เอฟี่อัลทิส แต่ใช้ชื่ออิ้งค์เถอะ]","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1mcADTOxTi7HKAnUdLYhdov1tcrSwP7wL","1mcADTOxTi7HKAnUdLYhdov1tcrSwP7wL","028.png","7SU20G","SxmpleText"
"029","เฮ้! คุณรันเนอร์~! ดูอยู่หรือเปล่า?","DaKu IGO","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=16LTNBP5gPUu0T5lM8Q3Lx-Cvm3d3CLyP","16LTNBP5gPUu0T5lM8Q3Lx-Cvm3d3CLyP","029.png","291IWS","DarknezsEagle"
"030","""วิ่งมาเลอะๆ อย่างงี้ต้องจับจ๊าบจุ่มน้ำ!""","JAJA CT","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1nhOXCil8J4qH2WpF6sPAHIifkovMwWcS","1nhOXCil8J4qH2WpF6sPAHIifkovMwWcS","030.png","4X7A9J","JAJA2607"
"031","ยิ้มหน่อย","Nai","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1s1_lpVA37plfuoYRb05ri30kx_ZfbK2v","1s1_lpVA37plfuoYRb05ri30kx_ZfbK2v","031.png","MTB059","naisang123"
"032","Jabs' group photo under the starry sky","ImYeonOsDog","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1jEjESEyfomitDDAUfHoP-lc5XjY55LVG","1jEjESEyfomitDDAUfHoP-lc5XjY55LVG","032.png","0K60PL","14151515aaaaa"
"033","เน้นเข้าร่วมไม่เน้นอะไรเลย","Salmon","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1mgU92mSUEEXFIMTzsOLlDvjXsbse1x4z","1mgU92mSUEEXFIMTzsOLlDvjXsbse1x4z","033.png","06RA4K","oSalmono"
"034","Jabs' group photo under the starry sky","ImYeonOsDog","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1X1Tev0oXL8HLECZY4x0kXdUkZ7TSF0nb","1X1Tev0oXL8HLECZY4x0kXdUkZ7TSF0nb","034.png","0K60PL","14151515aaaaa"
"035","เราจะเป็นเพื่อนกันนับแต่วันนี้ และนี่เพื่อนของชั้น ชูชู! วิบวับ!","Lilypads","Traditional Art (วาดบนกระดาษ)","https://drive.google.com/open?id=1j4ujpGthWtkkDAP2PhAygswiTG28SOvE","1j4ujpGthWtkkDAP2PhAygswiTG28SOvE","035.png","25EC7J","lilythelilypads"
"036","The sea son","Vince","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1lqV3tbzDt0XXDMZqWjf2uH_H2NXi-JbP","1lqV3tbzDt0XXDMZqWjf2uH_H2NXi-JbP","036.png","T778CP","wznvxce"
"037","ต้อนรับน้องใหม่จ๊าบเกิดใหม่กับต่างโลกนิทานรันเนอร์!!","VTwin","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=12YGszV2TQJV-jt8g9eY-EDVNOWzF3_SD","12YGszV2TQJV-jt8g9eY-EDVNOWzF3_SD","037.png","P9C8G4","VTwin91"
"038","งานของยมทูตก็สนุกเหมือนกันนะ !","Horu","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1Kv23ukFNhDRhkkTkkTaTOI8EaQdgmlSv","1Kv23ukFNhDRhkkTkkTaTOI8EaQdgmlSv","038.png","E9F57Z","Horu1803"
"039","Jab’s Sunny Adventure","Bunny Gab","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1mQA6ZYjxv57pT9VnRlIA3rl-3xsyVINc","1mQA6ZYjxv57pT9VnRlIA3rl-3xsyVINc","039.png","5H3KG6","calw001001"
"040","♡ Jab and TiTi can smile with sweets ♡","Sleepy","Traditional Art (วาดบนกระดาษ)","https://drive.google.com/open?id=1ym_NfkFoPzIuM_3oepJu2wzFbGaODuhR","1ym_NfkFoPzIuM_3oepJu2wzFbGaODuhR","040.png","5O0D7T","sleepyiscoming"
"041","ต้อนรับน้องใหม่จ๊าบและต่างโลกนิทานรันเนอร์!!","VTwin","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1iDxykj39niSKKUo826pl2VjtDlzd84qG","1iDxykj39niSKKUo826pl2VjtDlzd84qG","041.png","P9C8G4","VTwin91"
"042","วันธรรมดาๆในTalesRunner","Unpeach","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1nuG-NR-fVRJTGaWydM7uKfWm9YDAsali","1nuG-NR-fVRJTGaWydM7uKfWm9YDAsali","042.png","5Y9Z8Y","demonhi5"
"043","Journey graph","shxdxw_p","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=18hWX_sFVbN_Rul2GFXInl1SFikVaYkp5","18hWX_sFVbN_Rul2GFXInl1SFikVaYkp5","043.png","50WBI9","Azel12345"
"044","จ๊าบกับเหล่าผองเพื่อน!","FateNight","Traditional Art (วาดบนกระดาษ)","https://drive.google.com/open?id=1YaEyOJr66I5JoHbN6hlPOY_XCiRhwstf","1YaEyOJr66I5JoHbN6hlPOY_XCiRhwstf","044.png","KCL418","FateNight"
"045","แอบเข้า! สำนักงานรักษาความปลอดภัยแอนิวิล","Kreamy","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1JF78707cva8DBZDFSM1Ln8p2D4L4J2PI","1JF78707cva8DBZDFSM1Ln8p2D4L4J2PI","045.png","1ZR1K9","Kimmaroo"
"046","Firework with me and you","MuTeki","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1ebr9Vd6e3DFPSQhubyptHU45PoVGjaYM","1ebr9Vd6e3DFPSQhubyptHU45PoVGjaYM","046.png","K3XK73","bigcubeiei"
"047","วิ่งๆ ไปโลด","ก้างปลาคุง","Traditional Art (วาดบนกระดาษ)","https://drive.google.com/open?id=1N6YwBqUJ4mZXo4UrP1W6ukT8KPMzHr_T","1N6YwBqUJ4mZXo4UrP1W6ukT8KPMzHr_T","047.png","H8LD90","naraton2408"
"048","แฟชั่นสุดจ๊าบกับโคลอี้","MADMOON","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=15bhTSpF2NdeWeNHXl9T5INejaRHJPoMJ","15bhTSpF2NdeWeNHXl9T5INejaRHJPoMJ","048.png","696JMA","itsmeohm"
"049","Dream Tales นิทานฝัน แอนิมอลวิลเลจ","Luumi","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1y1qvhyLoyyPPd9RLnpD9VVAP1mw2RXHi","1y1qvhyLoyyPPd9RLnpD9VVAP1mw2RXHi","049.png","CH320B","MatChaN"
"050","ลูกรัก Tales Runner มาแล้วจ้าา~","BabeJeep","Traditional Art (วาดบนกระดาษ)","https://drive.google.com/open?id=1cxi1jZd9ewjoX_eB0lHF7h8PusT4ioJ_","1cxi1jZd9ewjoX_eB0lHF7h8PusT4ioJ_","050.png","9GW93L","BabeJeep"
"051","Friends Become Enemies.","CASANOVA","Traditional Art (วาดบนกระดาษ)","https://drive.google.com/open?id=1cT9QJ3sAC2kCdAURtofkQI1zztNrknsd","1cT9QJ3sAC2kCdAURtofkQI1zztNrknsd","051.png","36H7TM","tawan250"
"052","Take a Photo with Jab","MPuff","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1Q9HlI4hT76XfsqVyU_lE0yxbX6ALUFwS","1Q9HlI4hT76XfsqVyU_lE0yxbX6ALUFwS","052.png","P55C2D","honeybelle"
"053","น้องจ๊าบส่งกำลัง <3 ให้รันเนอร์เก็บผลไม้น้า ^^","HarleyStar","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1PmWTh1hRPtCy_K7dX1I998MHSrhNLnBp","1PmWTh1hRPtCy_K7dX1I998MHSrhNLnBp","053.png","F30T7G","iceheart28"
"054","จ๊าบวิ่งกิจเเล้ว ขอพักหน่อยน่า~","ChelonZ","Traditional Art (วาดบนกระดาษ)","https://drive.google.com/open?id=1n5mhLEU5vfKLENAy_X1lGEHljxDCpcNA","1n5mhLEU5vfKLENAy_X1lGEHljxDCpcNA","054.png","JN4Y44","NAMIDEREGOOD"
"055","จ๊าบ!! กับเหล่ารันเนอร์ในตลาดน้ำ!!!🐾🌊🫶","MayA (เมย์-อา)","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1sAmEbWfqGRLpzWyWRdiBxICpw11zZVa8","1sAmEbWfqGRLpzWyWRdiBxICpw11zZVa8","055.png","S354SV","MayApapipat"
"056","จ๊าบเเละจอมโจรกระปุกหมู","AptenodyteZ","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1FbtPPzKWmbiaQq9oIzJe5FEeFt9WKrq7","1FbtPPzKWmbiaQq9oIzJe5FEeFt9WKrq7","056.png","2KYI30","popzanarak08"
"057","Jabs' group photo under the starry sky","ImYeonOsDog","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1J_fyUd8u-dTtKJmoRbqiKV_m-nbVqae-","1J_fyUd8u-dTtKJmoRbqiKV_m-nbVqae-","057.png","0K60PL","14151515aaaaa"
"058","แตงโมแตงโมแตงโม","ป้าแดงแซงทางโค้ง","Traditional Art (วาดบนกระดาษ)","https://drive.google.com/open?id=1ccgvnTJ9v466tRnLqXV--tFrPeBOwlbu","1ccgvnTJ9v466tRnLqXV--tFrPeBOwlbu","058.png","1R9L5E","Kanoozts"
"059","Gaming with Jab","Rollosimp","Traditional Art (วาดบนกระดาษ)","https://drive.google.com/open?id=1YChP_dMQ8_MCnBWOa3TFxPrfzmZNDlzH","1YChP_dMQ8_MCnBWOa3TFxPrfzmZNDlzH","059.png","HZ6V47","Pardei"
"060","Memory of Animal Village","Asterynthia","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1GnyV394mIxO3zbcnIeO69KuTKinIZObv","1GnyV394mIxO3zbcnIeO69KuTKinIZObv","060.png","7V1B1V","Astereaster"
"061","ด้วยรักและเอ็นดู","Rizenna","Digital Art (วาดด้วยเครื่องมือดิจิทัล)","https://drive.google.com/open?id=1AIzRvuv3cYVi-wAxz-KvFkjpUDQaXsZV","1AIzRvuv3cYVi-wAxz-KvFkjpUDQaXsZV","061.png","6OT2V3","rizenna01"
